person_ID,gender,gender_idx,race,race_idx,education,education_lvl,age,age_min,age_max,total_experience,total_experience_min,total_experience_max,current_experience,current_experience_min,current_experience_max
1189,Man,2.0,Asian or Asian American,1,PhD,,25-34,25.0,34.0,11 - 20 years,11.0,20.0,5-7 years,5.0,7.0
1190,Woman,1.0,White,7,Master's degree,4.0,55-64,55.0,64.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
1191,Woman,1.0,White,7,College degree,3.0,55-64,55.0,64.0,31 - 40 years,31.0,40.0,11 - 20 years,11.0,20.0
1192,Woman,1.0,White,7,Master's degree,4.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,2 - 4 years,2.0,4.0
1193,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,5-7 years,5.0,7.0
1194,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
1195,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
1196,Woman,1.0,Black or African American,2,Some college,2.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1197,Woman,1.0,White,7,College degree,3.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,21 - 30 years,21.0,30.0
1198,Man,2.0,Black or African American,2,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,5-7 years,5.0,7.0
1199,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1200,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1201,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1202,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1203,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1204,Woman,1.0,White,7,College degree,3.0,18-24,18.0,24.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
1205,Man,2.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1206,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
1207,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,8 - 10 years,8.0,10.0,1 year or less,,1.0
1208,Woman,1.0,White,7,PhD,,35-44,35.0,44.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1209,Woman,1.0,Black or African American,2,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1210,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1211,Man,2.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1212,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1213,Man,2.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,5-7 years,5.0,7.0
1214,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,2 - 4 years,2.0,4.0
1215,Man,2.0,White,7,Master's degree,4.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1216,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1217,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
1218,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1219,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
1220,Woman,1.0,White,7,College degree,3.0,55-64,55.0,64.0,21 - 30 years,21.0,30.0,8 - 10 years,8.0,10.0
1221,Man,2.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
1222,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,8 - 10 years,8.0,10.0,2 - 4 years,2.0,4.0
1223,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
1224,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
1225,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
1226,Woman,1.0,"Hispanic, Latino, or Spanish origin",4,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1227,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
1228,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,5-7 years,5.0,7.0
1229,Woman,1.0,White,7,College degree,3.0,55-64,55.0,64.0,31 - 40 years,31.0,40.0,21 - 30 years,21.0,30.0
1230,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1231,Woman,1.0,White,7,Master's degree,4.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,21 - 30 years,21.0,30.0
1232,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1233,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1234,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1235,Man,2.0,"White, Another option not listed here or prefer not to answer","7,8",Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1236,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
1237,Woman,1.0,White,7,PhD,,45-54,45.0,54.0,21 - 30 years,21.0,30.0,21 - 30 years,21.0,30.0
1238,Woman,1.0,White,7,PhD,,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
1239,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1240,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
1241,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,5-7 years,5.0,7.0
1242,Man,2.0,White,7,High School,1.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1243,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1244,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
1245,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
1246,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
1247,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
1248,Non-binary,3.0,White,7,College degree,3.0,25-34,25.0,34.0,2 - 4 years,2.0,4.0,1 year or less,,1.0
1249,Woman,1.0,White,7,College degree,3.0,45-54,45.0,54.0,31 - 40 years,31.0,40.0,11 - 20 years,11.0,20.0
1250,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1251,Woman,1.0,Another option not listed here or prefer not to answer,8,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1252,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1253,Woman,1.0,White,7,PhD,,45-54,45.0,54.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1254,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
1255,Woman,1.0,White,7,PhD,,35-44,35.0,44.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
1256,Woman,1.0,White,7,Master's degree,4.0,45-54,45.0,54.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1257,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1258,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
1259,Man,2.0,White,7,Master's degree,4.0,45-54,45.0,54.0,31 - 40 years,31.0,40.0,31 - 40 years,31.0,40.0
1260,Man,2.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
1261,Man,2.0,White,7,Master's degree,4.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,5-7 years,5.0,7.0
1262,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1263,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1264,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1265,Woman,1.0,White,7,Some college,2.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1266,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1267,Woman,1.0,White,7,College degree,3.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,21 - 30 years,21.0,30.0
1268,Woman,1.0,"Hispanic, Latino, or Spanish origin, White","4,7",College degree,3.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,21 - 30 years,21.0,30.0
1269,Woman,1.0,White,7,,,35-44,35.0,44.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1270,,,White,7,Master's degree,4.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,5-7 years,5.0,7.0
1271,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1272,Other,4.0,Another option not listed here or prefer not to answer,8,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
1273,Woman,1.0,White,7,College degree,3.0,18-24,18.0,24.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
1274,Woman,1.0,White,7,PhD,,35-44,35.0,44.0,8 - 10 years,8.0,10.0,1 year or less,,1.0
1275,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1276,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
1277,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
1278,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1279,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,21 - 30 years,21.0,30.0,21 - 30 years,21.0,30.0
1280,Woman,1.0,White,7,College degree,3.0,45-54,45.0,54.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1281,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1282,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,2 - 4 years,2.0,4.0
1283,Woman,1.0,White,7,Some college,2.0,25-34,25.0,34.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
1284,Man,2.0,White,7,College degree,3.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1285,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1286,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1287,Woman,1.0,"Native American or Alaska Native, White","6,7",,,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
1288,Woman,1.0,White,7,College degree,3.0,55-64,55.0,64.0,31 - 40 years,31.0,40.0,8 - 10 years,8.0,10.0
1289,Woman,1.0,White,7,Some college,2.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1290,Man,2.0,White,7,College degree,3.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1291,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,21 - 30 years,21.0,30.0,11 - 20 years,11.0,20.0
1292,Woman,1.0,White,7,Some college,2.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1293,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,1 year or less,,1.0
1294,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1295,Woman,1.0,White,7,College degree,3.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,11 - 20 years,11.0,20.0
1296,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1297,Woman,1.0,Another option not listed here or prefer not to answer,8,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1298,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1299,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1300,Woman,1.0,White,7,College degree,3.0,18-24,18.0,24.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
1301,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1302,Woman,1.0,"Hispanic, Latino, or Spanish origin",4,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1303,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1304,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1305,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1306,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
1307,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1308,Woman,1.0,White,7,Some college,2.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1309,Woman,1.0,White,7,College degree,3.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,8 - 10 years,8.0,10.0
1310,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
1311,Woman,1.0,Another option not listed here or prefer not to answer,8,Some college,2.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
1312,Woman,1.0,Another option not listed here or prefer not to answer,8,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
1313,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1314,Man,2.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1315,Woman,1.0,"Hispanic, Latino, or Spanish origin, White","4,7",Master's degree,4.0,35-44,35.0,44.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
1316,Woman,1.0,White,7,PhD,,25-34,25.0,34.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1317,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1318,Man,2.0,White,7,Master's degree,4.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,21 - 30 years,21.0,30.0
1319,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
1320,Woman,1.0,White,7,Master's degree,4.0,45-54,45.0,54.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1321,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1322,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
1323,Woman,1.0,White,7,College degree,3.0,45-54,45.0,54.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1324,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,2 - 4 years,2.0,4.0
1325,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1326,Woman,1.0,White,7,Master's degree,4.0,55-64,55.0,64.0,21 - 30 years,21.0,30.0,11 - 20 years,11.0,20.0
1327,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1328,Non-binary,3.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,2 - 4 years,2.0,4.0
1329,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,2 - 4 years,2.0,4.0,5-7 years,5.0,7.0
1330,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1331,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1332,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1333,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1334,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1335,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,21 - 30 years,21.0,30.0,11 - 20 years,11.0,20.0
1336,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
1337,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,8 - 10 years,8.0,10.0,2 - 4 years,2.0,4.0
1338,Woman,1.0,White,7,PhD,,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1339,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
1340,Woman,1.0,Black or African American,2,College degree,3.0,18-24,18.0,24.0,1 year or less,,1.0,1 year or less,,1.0
1341,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1342,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1343,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1344,Man,2.0,"Asian or Asian American, Another option not listed here or prefer not to answer","1,8",Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1345,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
1346,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
1347,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1348,Man,2.0,White,7,College degree,3.0,55-64,55.0,64.0,31 - 40 years,31.0,40.0,31 - 40 years,31.0,40.0
1349,Woman,1.0,Another option not listed here or prefer not to answer,8,Master's degree,4.0,55-64,55.0,64.0,21 - 30 years,21.0,30.0,21 - 30 years,21.0,30.0
1350,Woman,1.0,"Hispanic, Latino, or Spanish origin",4,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
1351,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,2 - 4 years,2.0,4.0
1352,Woman,1.0,White,7,PhD,,35-44,35.0,44.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1353,Woman,1.0,White,7,PhD,,45-54,45.0,54.0,21 - 30 years,21.0,30.0,11 - 20 years,11.0,20.0
1354,Woman,1.0,"Hispanic, Latino, or Spanish origin",4,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1355,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
1356,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
1357,Woman,1.0,White,7,PhD,,25-34,25.0,34.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
1358,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
1359,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1360,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1361,Woman,1.0,"Middle Eastern or Northern African, White","5,7",Some college,2.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
1362,Man,2.0,White,7,Master's degree,4.0,18-24,18.0,24.0,1 year or less,,1.0,1 year or less,,1.0
1363,Woman,1.0,"Hispanic, Latino, or Spanish origin",4,College degree,3.0,35-44,35.0,44.0,21 - 30 years,21.0,30.0,21 - 30 years,21.0,30.0
1364,Woman,1.0,White,7,College degree,3.0,45-54,45.0,54.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1365,Woman,1.0,White,7,Some college,2.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,2 - 4 years,2.0,4.0
1366,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,5-7 years,5.0,7.0
1367,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1368,Woman,1.0,White,7,College degree,3.0,45-54,45.0,54.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1369,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
1370,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1371,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1372,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
1373,Man,2.0,"Hispanic, Latino, or Spanish origin",4,College degree,3.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1374,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1375,Woman,1.0,White,7,PhD,,35-44,35.0,44.0,5-7 years,5.0,7.0,8 - 10 years,8.0,10.0
1376,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
1377,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
1378,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1379,Man,2.0,White,7,Master's degree,4.0,55-64,55.0,64.0,31 - 40 years,31.0,40.0,11 - 20 years,11.0,20.0
1380,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
1381,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
1382,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
1383,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
1384,Man,2.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1385,Woman,1.0,White,7,Master's degree,4.0,45-54,45.0,54.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1386,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
1387,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1388,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
1389,Man,2.0,"Black or African American, Hispanic, Latino, or Spanish origin, White","2,4,7",Master's degree,4.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,2 - 4 years,2.0,4.0
1390,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
1391,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
1392,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,2 - 4 years,2.0,4.0
